circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
0 chr1:1839190|1879919	chr1	1839190	1879919	2	0_2_2	36	0.100	intron	ENSG00000078369.17,	-	E00500:175:HHYKLCCXY:5:2102:10602:15637,E00500:175:HHYKLCCXY:5:2102:11728:16111,
1 chr1:6533280|6544922	chr1	6533280	6544922	3	2_1_1	10	0.375	exon	ENSG00000162408.10,	-	E00500:175:HHYKLCCXY:5:1104:7770:16111,E00500:175:HHYKLCCXY:5:2104:27275:25007,E00500:175:HHYKLCCXY:5:2110:24332:15971,
2 chr1:9972018|9981170	chr1	9972018	9981170	10	8_9_0	5	0.800	exon	ENSG00000173614.13,	+	E00500:175:HHYKLCCXY:5:1104:15321:34359,E00500:175:HHYKLCCXY:5:1108:2148:16252,E00500:175:HHYKLCCXY:5:1211:12357:62769,E00500:175:HHYKLCCXY:5:1213:19522:42165,E00500:175:HHYKLCCXY:5:1220:23186:26888,E00500:175:HHYKLCCXY:5:2116:12378:70750,E00500:175:HHYKLCCXY:5:2124:16356:55034,E00500:175:HHYKLCCXY:5:2201:30746:44415,E00500:175:HHYKLCCXY:5:2222:12510:5722,E00500:175:HHYKLCCXY:5:2204:14671:42903,
3 chr1:13769118|13773188	chr1	13769118	13773188	4	1_4_3	0	1	exon	ENSG00000116731.22,	+	E00500:175:HHYKLCCXY:5:1122:29274:33428,E00500:175:HHYKLCCXY:5:2119:5913:29279,E00500:175:HHYKLCCXY:5:2122:15544:69379,E00500:175:HHYKLCCXY:5:2204:7273:36276,
4 chr1:19356635|19357563	chr1	19356635	19357563	18	8_10_2	18	0.667	exon	ENSG00000077549.17,	-	E00500:175:HHYKLCCXY:5:1102:3478:70662,E00500:175:HHYKLCCXY:5:1103:16498:57424,E00500:175:HHYKLCCXY:5:1108:23165:59763,E00500:175:HHYKLCCXY:5:1120:14966:32935,E00500:175:HHYKLCCXY:5:1120:21420:72069,E00500:175:HHYKLCCXY:5:1204:9404:44152,E00500:175:HHYKLCCXY:5:1204:7395:44292,E00500:175:HHYKLCCXY:5:1206:32664:45663,E00500:175:HHYKLCCXY:5:1215:26372:58075,E00500:175:HHYKLCCXY:5:1221:25601:31142,E00500:175:HHYKLCCXY:5:2106:20070:69625,E00500:175:HHYKLCCXY:5:2116:3254:45910,E00500:175:HHYKLCCXY:5:2120:5436:51131,E00500:175:HHYKLCCXY:5:2120:4980:51289,E00500:175:HHYKLCCXY:5:2121:27174:7708,E00500:175:HHYKLCCXY:5:2203:25093:54418,E00500:175:HHYKLCCXY:5:2208:10084:26062,E00500:175:HHYKLCCXY:5:2212:9211:33938,
5 chr1:21748138|21753119	chr1	21748138	21753119	4	2_2_0	4	0.667	exon	ENSG00000090686.15,	-	E00500:175:HHYKLCCXY:5:1109:19431:64896,E00500:175:HHYKLCCXY:5:1207:2879:61995,E00500:175:HHYKLCCXY:5:1209:32441:22141,E00500:175:HHYKLCCXY:5:2215:8491:26150,
6 chr1:27552892|27603491	chr1	27552892	27603491	3	0_1_2	21	0.222	exon	ENSG00000126705.13,	-	E00500:175:HHYKLCCXY:5:1202:10947:33463,E00500:175:HHYKLCCXY:5:1102:3691:40512,E00500:175:HHYKLCCXY:5:1102:3468:40618,
7 chr1:28858954|28859303	chr1	28858954	28859303	9	4_4_1	22	0.450	exon	ENSG00000116329.10,	+	E00500:175:HHYKLCCXY:5:1217:27833:54453,E00500:175:HHYKLCCXY:5:1218:30086:40917,E00500:175:HHYKLCCXY:5:1218:30239:41040,E00500:175:HHYKLCCXY:5:2114:9211:66285,E00500:175:HHYKLCCXY:5:2122:15534:27872,E00500:175:HHYKLCCXY:5:2210:6695:22124,E00500:175:HHYKLCCXY:5:2210:6695:22159,E00500:175:HHYKLCCXY:5:2214:21684:5089,E00500:175:HHYKLCCXY:5:2205:19887:69203,
8 chr1:31346640|31348974	chr1	31346640	31348974	21	5_9_6	73	0.365	exon	ENSG00000121766.15,	+	E00500:175:HHYKLCCXY:5:1103:19745:30140,E00500:175:HHYKLCCXY:5:1119:12520:44837,E00500:175:HHYKLCCXY:5:1122:12581:6829,E00500:175:HHYKLCCXY:5:1203:25185:30984,E00500:175:HHYKLCCXY:5:1209:8978:36627,E00500:175:HHYKLCCXY:5:1219:13179:38772,E00500:175:HHYKLCCXY:5:2103:2808:60501,E00500:175:HHYKLCCXY:5:2104:8846:55420,E00500:175:HHYKLCCXY:5:2106:15838:45452,E00500:175:HHYKLCCXY:5:2121:17147:37032,E00500:175:HHYKLCCXY:5:2210:30360:64808,E00500:175:HHYKLCCXY:5:2212:15199:17729,E00500:175:HHYKLCCXY:5:2216:29274:15813,E00500:175:HHYKLCCXY:5:1106:3051:46402,E00500:175:HHYKLCCXY:5:1220:10003:7216,E00500:175:HHYKLCCXY:5:1224:25175:8148,E00500:175:HHYKLCCXY:5:2110:15666:52643,E00500:175:HHYKLCCXY:5:2114:19076:14283,E00500:175:HHYKLCCXY:5:2118:2341:41479,E00500:175:HHYKLCCXY:5:2203:20131:28136,E00500:175:HHYKLCCXY:5:2219:5619:49338,
9 chr1:33096707|33098179	chr1	33096707	33098179	46	26_21_2	36	0.719	exon	ENSG00000142920.16,	+	E00500:175:HHYKLCCXY:5:1106:24779:26835,E00500:175:HHYKLCCXY:5:1109:17492:53979,E00500:175:HHYKLCCXY:5:1111:9922:13580,E00500:175:HHYKLCCXY:5:1111:9780:13685,E00500:175:HHYKLCCXY:5:1115:4239:12279,E00500:175:HHYKLCCXY:5:1115:21978:42763,E00500:175:HHYKLCCXY:5:1115:21846:42815,E00500:175:HHYKLCCXY:5:1121:15341:51096,E00500:175:HHYKLCCXY:5:1201:16254:59042,E00500:175:HHYKLCCXY:5:1207:27123:41479,E00500:175:HHYKLCCXY:5:1208:14346:49232,E00500:175:HHYKLCCXY:5:1208:29883:50234,E00500:175:HHYKLCCXY:5:1213:8400:39141,E00500:175:HHYKLCCXY:5:1218:23541:38051,E00500:175:HHYKLCCXY:5:1219:11393:25200,E00500:175:HHYKLCCXY:5:2101:4777:55438,E00500:175:HHYKLCCXY:5:2105:31446:63560,E00500:175:HHYKLCCXY:5:2105:30716:63771,E00500:175:HHYKLCCXY:5:2105:7222:69660,E00500:175:HHYKLCCXY:5:2107:27001:10363,E00500:175:HHYKLCCXY:5:2109:18436:68342,E00500:175:HHYKLCCXY:5:2115:22353:58356,E00500:175:HHYKLCCXY:5:2119:9404:29384,E00500:175:HHYKLCCXY:5:2120:18629:28101,E00500:175:HHYKLCCXY:5:2123:30310:64509,E00500:175:HHYKLCCXY:5:2201:22029:32514,E00500:175:HHYKLCCXY:5:2202:6471:31617,E00500:175:HHYKLCCXY:5:2203:2869:14441,E00500:175:HHYKLCCXY:5:2203:2930:14652,E00500:175:HHYKLCCXY:5:2203:29954:40512,E00500:175:HHYKLCCXY:5:2209:5913:19118,E00500:175:HHYKLCCXY:5:2211:23094:34113,E00500:175:HHYKLCCXY:5:2215:16904:17412,E00500:175:HHYKLCCXY:5:2220:3244:31969,E00500:175:HHYKLCCXY:5:2223:25327:37032,E00500:175:HHYKLCCXY:5:2224:10328:31863,E00500:175:HHYKLCCXY:5:1121:7608:46841,E00500:175:HHYKLCCXY:5:1122:25266:7321,E00500:175:HHYKLCCXY:5:1223:18720:16797,E00500:175:HHYKLCCXY:5:1224:3204:66285,E00500:175:HHYKLCCXY:5:2105:8958:45839,E00500:175:HHYKLCCXY:5:2114:15788:8587,E00500:175:HHYKLCCXY:5:2114:5873:73159,E00500:175:HHYKLCCXY:5:2204:3305:52959,E00500:175:HHYKLCCXY:5:2208:8217:24022,E00500:175:HHYKLCCXY:5:2208:8268:24392,
10 chr1:37509278|37509542	chr1	37509278	37509542	11	4_5_4	4	0.846	exon	ENSG00000163875.15,	-	E00500:175:HHYKLCCXY:5:1116:21146:10380,E00500:175:HHYKLCCXY:5:2114:19735:33182,E00500:175:HHYKLCCXY:5:2114:19573:33252,E00500:175:HHYKLCCXY:5:2220:11028:21755,E00500:175:HHYKLCCXY:5:2221:11302:4649,E00500:175:HHYKLCCXY:5:1111:9770:4526,E00500:175:HHYKLCCXY:5:1111:9719:4614,E00500:175:HHYKLCCXY:5:1113:7598:12226,E00500:175:HHYKLCCXY:5:1201:31061:29771,E00500:175:HHYKLCCXY:5:1214:9526:43694,E00500:175:HHYKLCCXY:5:2104:11505:34781,
11 chr1:39850119|39852876	chr1	39850119	39852876	3	3_2_1	4	0.600	exon	ENSG00000043514.15,	-	E00500:175:HHYKLCCXY:5:1118:26007:9730,E00500:175:HHYKLCCXY:5:2111:18568:10521,E00500:175:HHYKLCCXY:5:2116:11749:6231,
